0,Lifeguarding,10.0,12.25,1
0,Lifeguarding,15.0,17.0,1
0,Lifesaving,13.0,14.0,1
0,Lifeguarding,14.0,15.0,1
0,Lifesaving,12.25,13.0,1
1,Lifeguarding,15.0,16.0,1
1,Lifesaving,13.0,15.0,1
1,Lifesaving,12.0,13.0,1
1,Lifesaving,10.0,11.0,1
1,Lifeguard,23.0,24.0,1
1,Lifeguarding,16.0,17.0,1
2,Lifeguarding,13.0,14.0,1
2,Lifesaving,14.0,15.0,1
2,Lifeguarding,14.0,15.0,1
2,Lifeguarding,16.0,17.0,1
2,Lifeguarding,15.0,16.0,1
2,Lifeguarding,10.0,12.0,1
2,Lifeguarding,12.0,13.0,1
3,Lifeguarding,10.0,12.5,1
3,Lifeguarding,11.0,13.0,1
3,Lifeguarding,16.0,17.0,1
3,Lifeguarding,13.0,14.0,1
3,Lifeguarding,14.0,16.0,1
3,Lifeguarding,12.5,14.0,1
3,Lifeguarding,10.0,11.0,1
4,Lifeguarding,14.0,15.0,1
4,Lifeguarding,15.0,16.0,1
4,Lifeguarding,11.0,14.0,1
4,Lifesaving,10.0,11.0,1
4,Lifeguarding,16.0,17.0,1
5,Lifeguarding,15.0,16.0,1
5,Lifesaving,10.0,11.0,1
5,Lifeguarding,13.0,14.0,1
5,Lifeguarding,14.0,15.0,1
5,Lifeguarding,16.0,17.0,1
5,Lifesaving,11.0,12.0,1
5,Lifesaving,12.0,13.0,1